alpha,delta,A_alpha,B_alpha,C_alpha
1.25,0.0001764311815044419,42.27590196132922,104914.67257515623,35.66505882399647
1.25,0.0001919132776935102,41.31296412110449,94443.8672282265,34.839683532375275
1.25,0.00020875395063961013,40.3700636922502,85018.07232563096,34.03148316478588
1.25,0.000227072417455348,39.446783723808885,76532.99342271256,33.24010033469333
1.25,0.00024699835673065436,38.5427159409988,68894.7449001478,32.46518509228468
1.25,0.0002686728265428373,37.65746056467457,62018.811139249614,31.706394769721065
1.25,0.0002922492630233715,36.790626134544716,55829.11137436352,30.963393829609757
1.25,0.0003178945665503921,35.94182933606768,50257.15787514496,30.23585371662944
1.25,0.0003457902832561806,35.110694830950116,45241.29814418035,29.523452712242957
1.25,0.0003761338902136763,34.296855091172056,40726.032745027216,28.825875792433195
1.25,0.00040914019339999817,33.49995023646584,36661.40121258418,28.142814488399292
1.25,0.00044504284833332393,32.71962787517695,33002.429251018126,27.47396675015167
1.25,0.00048409601414789487,31.95554294843631,29708.631102609022,26.81903681294541
1.25,0.000526576152816544,31.207357577575095,26743.56158132754,26.17773506649294
1.25,0.0005727839862576526,30.47474091471458,24074.412814491625,25.54977792689821
1.25,0.0006230466251811238,29.757368996465118,21671.651230532945,24.934887711255815
1.25,0.0006777198847437252,29.054924600669445,19508.6907762188,24.332792514859523
1.25,0.0007371908034066062,28.367097106126856,17561.59874754618,23.743226090965873
1.25,0.0008018803828262751,27.693582355236362,15808.830979388944,23.16592773305974
1.25,0.0008722465681750427,27.034082519498103,14230.993463827157,22.600642159569805
1.25,0.0009487874899889744,26.388305967813505,12810.6277595151,22.047119400983004
1.25,0.0010320449904927852,25.755967137525825,11532.017817687509,21.50511468930785
1.25,0.001122608459364942,25.136786408144232,10381.016087374534,20.974388349837913
1.25,0.0012211190060968,24.530489977695527,9344.886975716066,20.454705695167597
1.25,0.0013282739984823986,23.936809741648833,8412.165931296602,19.945836921413285
1.25,0.0014448319993674355,23.35548317435961,7572.532591287059,19.44755700659395
1.25,0.0015716181366052422,22.7862532129807,6816.696588793529,18.959645611126316
1.25,0.001709529944234296,22.22886814378907,6136.294756895192,18.481886980390634
1.25,0.001859543716227668,21.683081490877893,5523.798591955545,18.014069849323906
1.25,0.0020227214177933606,21.14865190716479,4972.430952307828,17.555987348998393
1.25,0.002200218203151435,20.62534306766804,4476.091070603173,17.107436915144035
1.25,0.0023932905930071522,20.112923565003584,4029.287050098813,16.6682201985745
1.25,0.0026033053696094227,19.611166807056605,3627.075097971932,16.23814297747709
1.25,0.0028317492523637668,19.119850916782394,3265.0048232884164,15.817015071527765
1.25,0.003080239422494574,18.638758634092188,2939.0699943600985,15.404650257793305
1.25,0.0033505349712619655,18.167677219780717,2645.664210630979,15.000866188383473
1.25,0.0036445493527765523,17.706398361452838,2381.5409986111017,14.605484309816717
1.25,0.003964363929567065,17.254718081407695,2143.7778903279295,14.218329784063739
1.25,0.004312242706791514,16.812436646439675,1929.7440868308627,13.839231411234008
1.25,0.004690648359397062,16.37935847951633,1737.0713489523573,13.468021553871141
1.25,0.005102259665686786,15.955292073294142,1563.6277932380044,13.104536062823552
1.25,0.005549990470707651,15.540049905433882,1407.4943031030054,12.748614204657613
1.25,0.006037010313703743,15.13344835567813,1266.9432942094572,12.400098590581253
1.25,0.006566766865658864,14.73530762465435,1140.4195991078225,12.058835106846587
1.25,0.007143010335766556,14.345451654367551,1026.5232596351157,11.724672846600757
1.25,0.0077698200196038925,13.963708050347343,923.9940366712966,11.397464043154866
1.25,0.008451633176946647,13.589908005415015,831.6974658575888,11.077064004641441
1.25,0.009193276443655246,13.223886225036956,748.6123049861749,10.763331050031677
1.25,0.01,12.865480854231357,673.8192341692542,10.45612644648402
1.5,1e-10,399998.0,2666666666666666.0,266664.6666666667
1.5,1.0877514737307278e-10,383524.3003999651,2350575535326167.5,255682.2002666434
1.5,1.1832032686033702e-10,367729.05774621066,2071952005227713.0,245152.03849747378
1.5,1.2870310991463354e-10,352584.3302989245,1826354885196835.8,235055.55353261635
1.5,1.3999699748337049e-10,338063.3270778666,1609869416987667.8,225374.88471857773
1.5,1.5228194033041324e-10,324140.36046919576,1419044874990379.8,216092.90697946385
1.5,1.6564490501698245e-10,310790.8007841557,1250839562505880.0,207193.2005227705
1.5,1.8018048954820907e-10,297991.0326892265,1102572327841653.4,198660.02179281766
1.5,1.9599159304358843e-10,285718.41343066224,971879827407080.0,190478.2756204415
1.5,2.1319014417199638e-10,273951.232779526,856678854592537.6,182633.48851968398
1.5,2.318978935079554e-10,262668.6746263551,755133133963673.5,175111.78308423675
1.5,2.522472754183309e-10,251850.78015752186,665624051478441.6,167899.8534383479
1.5,2.7438234558085025e-10,241478.41254815023,586724854173716.5,160984.9416987668
1.5,2.984598007712637e-10,231533.2231091234,517177908070706.8,154354.81540608229
1.5,3.246500881383228e-10,221997.61882830606,455874651795810.7,147997.74588553738
1.5,3.5313861181927136e-10,212854.73124855664,401837926382462.94,141902.48749903776
1.5,3.8412704543763584e-10,204088.3866274714,354206399595305.56,136058.2577516476
1.5,4.178347597746186e-10,195683.07732608155,312220836504258.7,130454.7182173877
1.5,4.5450037572076605e-10,187623.93437588285,275211997464743.12,125081.95625058857
1.5,4.943834535014348e-10,179896.7011756721,242589970600825.66,119930.46745044806
1.5,5.377663301342724e-10,172487.70827166093,213834768753673.16,114991.13884777395
1.5,5.8495611812632e-10,165383.84917624842,188488041012942.12,110255.23278416561
1.5,6.362868795597129e-10,158572.5571826826,166145766714965.34,105714.37145512173
1.5,6.921219909566037e-10,152041.78313459244,146451815451827.3,101360.52208972829
1.5,7.528567156644912e-10,145779.9741110621,129092270439437.98,97185.98274070806
1.5,8.189210019721259e-10,139776.05298954784,113790424760494.56,93183.36865969856
1.5,8.907825267642241e-10,134019.3988504789,100302370723646.77,89345.5992336526
1.5,9.689500062613704e-10,128499.82818888049,88413112034331.77,85665.88545925367
1.5,1.0539767972822035e-09,123207.5768997832,77933136806231.89,82137.7179331888
1.5,1.1464648145217095e-09,118133.28300554713,68695396787983.414,78754.85533703142
1.5,1.24706879157642e-09,113267.97009455066,60552644654758.68,75511.31339636711
1.5,1.3565009158808488e-09,108603.03144194424,53375086921790.41,72401.35429462949
1.5,1.4755358703664754e-09,104130.2147843769,47048315067850.5,69419.47652291793
1.5,1.6050163175336858e-09,99841.60772176656,41471481891302.516,66560.40514784437
1.5,1.7458588647591325e-09,95729.62372028628,36555694030281.63,63819.08248019085
1.5,1.8990605530676097e-09,91786.98869180716,32222595024168.043,61190.65912787144
1.5,2.065705915303183e-09,88006.72812605758,28403116330699.473,58670.485417371725
1.5,2.2469746536653196e-09,84382.15475273304,25036376390236.92,56254.10316848869
1.5,2.4441499909600534e-09,80906.8567117344,22068710188540.504,53937.23780782294
1.5,2.658627754685743e-09,77574.68621060596,19452813849519.918,51715.79080707064
1.5,2.8919262582608328e-09,74379.74864910672,17146990622975.766,49585.832432737814
