alpha,type,delta,D_true,D_stable,D_raw32,rel_stable,rel_raw32,rel_gap32
1.5,I,8.25404185268019e-06,0.5661607368954616,0.5658677063339552,0.5658699295553606,0.0005175748553551335,0.0005136480175146848,3.9268378404487e-06
1.5,I,1e-05,0.5661607368954616,0.5658346107598735,0.5658366215050462,0.000576031000271132,0.0005724794555565975,3.5515447145345426e-06
1.5,I,1.2115276586285876e-05,0.5661607368954616,0.5658034295914819,0.5658052534191914,0.0006311057632485277,0.0006278843676435889,3.2213956049387775e-06
1.5,I,1.4677992676220675e-05,0.5661607368954616,0.5657671578941599,0.5657687919892576,0.0006951718401737939,0.0006922855660272669,2.886274146527075e-06
1.5,I,1.778279410038923e-05,0.5661607368954616,0.5657264872283015,0.5657279747228428,0.0007670077397830651,0.0007643804036852553,2.6273360978097256e-06
1.5,I,2.1544346900318823e-05,0.5661607368954616,0.5656830360410564,0.5656843884954771,0.0008437548266322878,0.0008413660095834512,2.3888170488366033e-06
1.5,I,2.6101572156825332e-05,0.5661607368954616,0.5656353806854659,0.5656365992093958,0.0009279276639289875,0.000925775406009177,2.1522579198104653e-06
1.5,I,3.1622776601683795e-05,0.5661607368954616,0.5655825882881309,0.5655836890403914,0.0010211739699595129,0.0010192297301196253,1.944239839887557e-06
1.5,I,3.831186849557285e-05,0.5661607368954616,0.5655241563628607,0.565525158048484,0.001124381277464852,0.0011226120173271229,1.7692601377288946e-06
1.5,I,4.641588833612772e-05,0.5661607368954616,0.5654599377256605,0.5654608542407727,0.0012378095550107811,0.0012361907300861249,1.618824924656221e-06
1.5,I,5.623413251903491e-05,0.5661607368954616,0.5653900628956267,0.5653908857401634,0.0013612282689558755,0.0013597748927623198,1.4533761935556024e-06
1.5,I,6.812920690579608e-05,0.5661607368954616,0.5653121707677173,0.5653129092516359,0.001498807798642867,0.0014975034271623904,1.3043714804765154e-06
1.5,I,8.254041852680174e-05,0.5661607368954616,0.5652270846621058,0.5652277413931363,0.0016490939277695536,0.001647933955013323,1.159972756230584e-06
1.5,I,0.0001,0.5661607368954616,0.5651325448992515,0.5651331304696474,0.0018160778895552965,0.0018150436066073814,1.03428294791521e-06
1.5,I,0.00012115276586285876,0.5661607368954616,0.5650290296605559,0.5650295532288326,0.001998915080391219,0.001997990310723148,9.247696680707358e-07
1.5,I,0.0001467799267622069,0.5661607368954616,0.5649151981791558,0.5649156709233819,0.00219997367379402,0.00219913867377496,8.350000190600735e-07
1.5,I,0.00017782794100389227,0.5661607368954616,0.5647904554372687,0.5647908834908086,0.0024203046394684403,0.0024195485758418908,7.560636265493151e-07
1.5,I,0.00021544346900318823,0.5661607368954616,0.5646517471303152,0.5646521327460109,0.0026653027432121078,0.002664621636822034,6.811063900735955e-07
1.5,I,0.0002610157215682536,0.5661607368954616,0.5644998815861187,0.5645002329586706,0.0029335402494531666,0.002932919626140856,6.20623312310585e-07
1.5,I,0.00031622776601683794,0.5661607368954616,0.5643326164719024,0.5643329367551135,0.0032289777521199593,0.003228412041376874,5.657107430852639e-07
1.5,I,0.00038311868495572853,0.5661607368954616,0.564148876400388,0.5641491710762249,0.0035535146893188813,0.003552994208441916,5.204808769654022e-07
1.5,I,0.00046415888336127773,0.5661607368954616,0.5639459895445577,0.563946257737424,0.003911870263290494,0.003911396558830113,4.7370446038013557e-07
