alpha,a,rho_star,expected_exp_slope,M,type,weighted_integral_error,derivative_error
1.5,0.2,2.0441269193127067,-1.4299415280218901,21,Type-II,6.628031457012185e-14,3.434919136364522e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,22,Type-I,2.6627589022609754e-12,9.199676221838826e-13
1.5,0.2,2.0441269193127067,-1.4299415280218901,22,Type-II,2.220446049250313e-14,1.1507266788490861e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,23,Type-I,5.906386491005833e-13,2.040621977159046e-13
1.5,0.2,2.0441269193127067,-1.4299415280218901,23,Type-II,5.995204332975845e-15,3.1069620328925324e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,24,Type-I,9.237055564881302e-14,3.191348656008132e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,24,Type-II,9.2148511043888e-15,4.775515717223707e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,25,Type-I,4.1744385725905886e-14,1.4422441041575212e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,25,Type-II,3.552713678800501e-15,1.8411626861585377e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,26,Type-I,1.1546319456101628e-13,3.989185820010165e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,26,Type-II,1.8207657603852567e-14,9.435958766562506e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,27,Type-I,6.039613253960852e-14,2.0866510443130093e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,27,Type-II,7.549516567451064e-15,3.9124707080868925e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,28,Type-I,1.1235457009206584e-13,3.881784663317584e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,28,Type-II,1.7208456881689926e-14,8.918131761080418e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,29,Type-I,8.881784197001252e-14,3.068604476930896e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,29,Type-II,1.199040866595169e-14,6.213924065785065e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,30,Type-I,1.163513729807164e-13,4.019871864779474e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,30,Type-II,1.765254609153999e-14,9.148277096850235e-15
1.5,0.2,2.0441269193127067,-1.4299415280218901,31,Type-I,2.62456723021387e-13,9.067726229330799e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,31,Type-II,4.596323321948148e-14,2.3820042252176082e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,32,Type-I,1.7763568394002505e-13,6.137208953861792e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,32,Type-II,2.5868196473766147e-14,1.3405965808591852e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,33,Type-I,1.6298074001497298e-13,5.630889215168195e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,33,Type-II,3.0531133177191805e-14,1.5822491834174933e-14
